cue_type	current_mean_accuracy	duration	duration_error	is_hit	isi_adjusted	onset	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	index
Control	1.0	4.1	0.0	Yes	2.581	28.77	0.001	n/a	GoodResponse	0	n/a	n/a	0	2	Fixation	Neutral	n/a
Control	1.0	0.38	0.004	Yes	2.581	32.865	-0.004	2.0	GoodResponse	0	0.216	33.081	0	2	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	2.581	33.081	-0.004	2.0	GoodResponse	0	0.216	n/a	0	2	ButtonPress	Neutral	14.0
Control	1.0	0.32	n/a	Yes	2.581	33.25	n/a	n/a	GoodResponse	0	n/a	n/a	0	2	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	2.581	33.567	n/a	5.0	GoodResponse	0	0.042	33.609	0	2	Feedback	Neutral	n/a
Control	1.0	2.581	n/a	Yes	2.581	35.022	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	n/a
Win2	1.0	0.25	0.001	Yes	2.821	37.629	0.029	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	n/a
Win2	1.0	3.95	0.0	Yes	2.821	37.88	0.001	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	n/a
Win2	1.0	0.37	0.004	Yes	2.821	41.825	-0.004	2.0	GoodResponse	1	0.213	42.038	1	3	Target	Win	n/a
Win2	1.0	0.3	0.004	Yes	2.821	42.038	-0.004	2.0	GoodResponse	1	0.213	n/a	1	3	ButtonPress	Win	20.0
Win2	1.0	0.33	n/a	Yes	2.821	42.21	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	n/a
Win2	1.0	1.45	n/a	Yes	2.821	42.527	n/a	5.0	GoodResponse	1	0.009	42.536	1	3	Feedback	Win	n/a
Win2	1.0	2.821	n/a	Yes	2.821	43.982	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	n/a
Win2	1.0	0.25	0.0	Yes	3.276	46.824	0.024	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	n/a
Win2	1.0	4.0	0.0	Yes	3.276	47.074	0.0	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	n/a
Win2	1.0	0.36	0.004	Yes	3.276	51.07	-0.004	2.0	GoodResponse	1	0.21	51.28	2	4	Target	Win	n/a
Win2	1.0	0.3	0.004	Yes	3.276	51.28	-0.004	2.0	GoodResponse	1	0.21	n/a	2	4	ButtonPress	Win	26.0
Win2	1.0	0.34	n/a	Yes	3.276	51.437	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	n/a
Win2	1.0	1.45	n/a	Yes	3.276	51.772	n/a	5.0	GoodResponse	1	0.033	51.805	2	4	Feedback	Win	n/a
Win2	1.0	3.276	n/a	Yes	3.276	53.226	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	n/a
Win2	1.0	0.25	0.0	Yes	2.781	56.519	0.019	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	n/a
Win2	1.0	4.0	0.0	Yes	2.781	56.77	0.001	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	n/a
Win2	1.0	0.35	0.004	Yes	2.781	60.765	-0.004	2.0	GoodResponse	1	0.181	60.946	3	5	Target	Win	n/a
Win2	1.0	0.3	0.004	Yes	2.781	60.946	-0.004	2.0	GoodResponse	1	0.181	n/a	3	5	ButtonPress	Win	32.0
Win2	1.0	0.35	n/a	Yes	2.781	61.116	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	n/a
Win2	1.0	1.45	n/a	Yes	2.781	61.467	n/a	5.0	GoodResponse	1	0.045	61.512	3	5	Feedback	Win	n/a
Win2	1.0	2.781	n/a	Yes	2.781	62.922	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	n/a
Lose2	1.0	0.25	0.0	Yes	2.72	65.73	0.03	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	n/a
Lose2	1.0	3.95	0.0	Yes	2.72	65.981	0.001	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.34	0.004	Yes	2.72	69.926	-0.004	2.0	GoodResponse	0	0.193	70.119	3	6	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	2.72	70.119	-0.004	2.0	GoodResponse	0	0.193	n/a	3	6	ButtonPress	AvoidedLoss	38.0
Lose2	1.0	0.36	n/a	Yes	2.72	70.277	n/a	n/a	GoodResponse	0	n/a	n/a	3	6	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	2.72	70.628	n/a	5.0	GoodResponse	0	0.007	70.635	3	6	Feedback	AvoidedLoss	n/a
Lose2	1.0	2.72	n/a	Yes	2.72	72.082	n/a	n/a	GoodResponse	0	0.0	n/a	3	6	ISIslide	AvoidedLoss	n/a
Lose2	1.0	0.25	0.0	Yes	4.026	74.824	0.024	n/a	GoodResponse	0	n/a	n/a	3	7	Cue	AvoidedLoss	n/a
Lose2	1.0	4.05	0.0	Yes	4.026	75.075	0.001	n/a	GoodResponse	0	n/a	n/a	3	7	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.33	0.004	Yes	4.026	79.12	-0.004	2.0	GoodResponse	0	0.247	79.367	3	7	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	4.026	79.367	-0.004	2.0	GoodResponse	0	0.247	n/a	3	7	ButtonPress	AvoidedLoss	44.0
Lose2	1.0	0.37	n/a	Yes	4.026	79.455	n/a	n/a	GoodResponse	0	n/a	n/a	3	7	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	4.026	79.822	n/a	5.0	GoodResponse	0	0.031	79.853	3	7	Feedback	AvoidedLoss	n/a
Lose2	1.0	4.026	n/a	Yes	4.026	81.277	n/a	n/a	GoodResponse	0	0.0	n/a	3	7	ISIslide	AvoidedLoss	n/a
Lose2	1.0	0.25	0.0	Yes	3.028	85.322	0.022	n/a	GoodResponse	0	n/a	n/a	3	8	Cue	AvoidedLoss	n/a
Lose2	1.0	3.95	0.0	Yes	3.028	85.573	0.001	n/a	GoodResponse	0	n/a	n/a	3	8	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.32	0.004	Yes	3.028	89.518	-0.004	2.0	GoodResponse	0	0.225	89.743	3	8	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	3.028	89.743	-0.004	2.0	GoodResponse	0	0.225	n/a	3	8	ButtonPress	AvoidedLoss	50.0
Lose2	1.0	0.38	n/a	Yes	3.028	89.852	n/a	n/a	GoodResponse	0	n/a	n/a	3	8	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	3.028	90.22	n/a	5.0	GoodResponse	0	0.023	90.243	3	8	Feedback	AvoidedLoss	n/a
Lose2	1.0	3.028	n/a	Yes	3.028	91.674	n/a	n/a	GoodResponse	0	0.0	n/a	3	8	ISIslide	AvoidedLoss	n/a
Lose2	1.0	0.25	0.0	Yes	3.133	94.717	0.017	n/a	GoodResponse	0	n/a	n/a	3	9	Cue	AvoidedLoss	n/a
Lose2	1.0	3.95	0.0	Yes	3.133	94.968	0.001	n/a	GoodResponse	0	n/a	n/a	3	9	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.31	0.004	Yes	3.133	98.913	-0.004	2.0	GoodResponse	0	0.199	99.112	3	9	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	3.133	99.112	-0.004	2.0	GoodResponse	0	0.199	n/a	3	9	ButtonPress	AvoidedLoss	56.0
Lose2	1.0	0.39	n/a	Yes	3.133	99.23	n/a	n/a	GoodResponse	0	n/a	n/a	3	9	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	3.133	99.615	n/a	5.0	GoodResponse	0	0.043	99.658	3	9	Feedback	AvoidedLoss	n/a
Lose2	1.0	3.133	n/a	Yes	3.133	101.069	n/a	n/a	GoodResponse	0	0.0	n/a	3	9	ISIslide	AvoidedLoss	n/a
Control	1.0	0.25	0.0	Yes	3.271	104.229	0.029	n/a	GoodResponse	0	n/a	n/a	3	10	Cue	Neutral	n/a
Control	1.0	4.0	0.0	Yes	3.271	104.479	0.0	n/a	GoodResponse	0	n/a	n/a	3	10	Fixation	Neutral	n/a
Control	1.0	0.3	0.004	Yes	3.271	108.475	-0.004	2.0	GoodResponse	0	0.222	108.697	3	10	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	3.271	108.697	-0.004	2.0	GoodResponse	0	0.222	n/a	3	10	ButtonPress	Neutral	62.0
Control	1.0	0.4	n/a	Yes	3.271	108.775	n/a	n/a	GoodResponse	0	n/a	n/a	3	10	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	3.271	109.177	n/a	5.0	GoodResponse	0	0.042	109.219	3	10	Feedback	Neutral	n/a
Control	1.0	3.271	n/a	Yes	3.271	110.631	n/a	n/a	GoodResponse	0	0.0	n/a	3	10	ISIslide	Neutral	n/a
Lose2	1.0	0.25	0.0	Yes	2.726	113.924	0.024	n/a	GoodResponse	0	n/a	n/a	3	11	Cue	AvoidedLoss	n/a
Lose2	1.0	4.05	0.0	Yes	2.726	114.175	0.001	n/a	GoodResponse	0	n/a	n/a	3	11	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.29	0.004	Yes	2.726	118.22	-0.004	2.0	GoodResponse	0	0.201	118.421	3	11	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	2.726	118.421	-0.004	2.0	GoodResponse	0	0.201	n/a	3	11	ButtonPress	AvoidedLoss	68.0
Lose2	1.0	0.41	n/a	Yes	2.726	118.521	n/a	n/a	GoodResponse	0	n/a	n/a	3	11	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	2.726	118.923	n/a	5.0	GoodResponse	0	0.006	118.929	3	11	Feedback	AvoidedLoss	n/a
Lose2	1.0	2.726	n/a	Yes	2.726	120.377	n/a	n/a	GoodResponse	0	0.0	n/a	3	11	ISIslide	AvoidedLoss	n/a
Control	1.0	0.25	0.0	Yes	2.982	123.118	0.018	n/a	GoodResponse	0	n/a	n/a	3	12	Cue	Neutral	n/a
Control	1.0	3.9	0.0	Yes	2.982	123.369	0.001	n/a	GoodResponse	0	n/a	n/a	3	12	Fixation	Neutral	n/a
Control	1.0	0.28	0.004	Yes	2.982	127.264	-0.004	2.0	GoodResponse	0	0.182	127.446	3	12	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	2.982	127.446	-0.004	2.0	GoodResponse	0	0.182	n/a	3	12	ButtonPress	Neutral	74.0
Control	1.0	0.42	n/a	Yes	2.982	127.548	n/a	n/a	GoodResponse	0	n/a	n/a	3	12	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	2.982	127.966	n/a	5.0	GoodResponse	0	0.033	127.999	3	12	Feedback	Neutral	n/a
Control	1.0	2.982	n/a	Yes	2.982	129.421	n/a	n/a	GoodResponse	0	0.0	n/a	3	12	ISIslide	Neutral	n/a
Control	1.0	0.25	0.0	Yes	2.77	132.43	0.03	n/a	GoodResponse	0	n/a	n/a	3	13	Cue	Neutral	n/a
Control	1.0	4.0	0.0	Yes	2.77	132.68	0.0	n/a	GoodResponse	0	n/a	n/a	3	13	Fixation	Neutral	n/a
Control	1.0	0.27	0.004	Yes	2.77	136.676	-0.004	2.0	GoodResponse	0	0.185	136.861	3	13	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	2.77	136.861	-0.004	2.0	GoodResponse	0	0.185	n/a	3	13	ButtonPress	Neutral	80.0
Control	1.0	0.43	n/a	Yes	2.77	136.96	n/a	n/a	GoodResponse	0	n/a	n/a	3	13	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	2.77	137.378	n/a	5.0	GoodResponse	0	0.035	137.413	3	13	Feedback	Neutral	n/a
Control	1.0	2.77	n/a	Yes	2.77	138.832	n/a	n/a	GoodResponse	0	0.0	n/a	3	13	ISIslide	Neutral	n/a
Win2	1.0	0.25	0.0	Yes	2.676	141.624	0.024	n/a	GoodResponse	1	n/a	n/a	4	14	Cue	Win	n/a
Win2	1.0	4.1	0.001	Yes	2.676	141.874	0.0	n/a	GoodResponse	1	n/a	n/a	4	14	Fixation	Win	n/a
Win2	1.0	0.26	0.004	Yes	2.676	145.97	-0.004	2.0	GoodResponse	1	0.183	146.153	4	14	Target	Win	n/a
Win2	1.0	0.3	0.004	Yes	2.676	146.153	-0.004	2.0	GoodResponse	1	0.183	n/a	4	14	ButtonPress	Win	86.0
Win2	1.0	0.44	n/a	Yes	2.676	146.238	n/a	n/a	GoodResponse	1	n/a	n/a	4	14	Blank	Win	n/a
Win2	1.0	1.45	n/a	Yes	2.676	146.672	n/a	5.0	GoodResponse	1	0.01	146.682	4	14	Feedback	Win	n/a
Win2	1.0	2.676	n/a	Yes	2.676	148.126	n/a	n/a	GoodResponse	1	0.0	n/a	4	14	ISIslide	Win	n/a
Control	1.0	0.25	0.0	Yes	2.982	150.818	0.018	n/a	GoodResponse	0	n/a	n/a	4	15	Cue	Neutral	n/a
Control	1.0	4.0	0.0	Yes	2.982	151.069	0.001	n/a	GoodResponse	0	n/a	n/a	4	15	Fixation	Neutral	n/a
Control	1.0	0.25	0.004	Yes	2.982	155.064	-0.004	2.0	GoodResponse	0	0.244	155.308	4	15	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	2.982	155.308	-0.004	2.0	GoodResponse	0	0.244	n/a	4	15	ButtonPress	Neutral	92.0
Control	1.0	0.45	n/a	Yes	2.982	155.315	n/a	n/a	GoodResponse	0	n/a	n/a	4	15	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	2.982	155.766	n/a	5.0	GoodResponse	0	0.038	155.804	4	15	Feedback	Neutral	n/a
Control	1.0	2.982	n/a	Yes	2.982	157.22	n/a	n/a	GoodResponse	0	0.0	n/a	4	15	ISIslide	Neutral	n/a
Win2	1.0	0.25	0.0	Yes	2.871	160.229	0.029	n/a	GoodResponse	1	n/a	n/a	5	16	Cue	Win	n/a
Win2	1.0	4.0	0.0	Yes	2.871	160.48	0.001	n/a	GoodResponse	1	n/a	n/a	5	16	Fixation	Win	n/a
Win2	1.0	0.24	0.004	Yes	2.871	164.475	-0.004	2.0	GoodResponse	1	0.177	164.652	5	16	Target	Win	n/a
Win2	1.0	0.3	0.004	Yes	2.871	164.652	-0.004	2.0	GoodResponse	1	0.177	n/a	5	16	ButtonPress	Win	98.0
Win2	1.0	0.46	n/a	Yes	2.871	164.726	n/a	n/a	GoodResponse	1	n/a	n/a	5	16	Blank	Win	n/a
Win2	1.0	1.45	n/a	Yes	2.871	165.177	n/a	5.0	GoodResponse	1	0.041	165.218	5	16	Feedback	Win	n/a
Win2	1.0	2.871	n/a	Yes	2.871	166.632	n/a	n/a	GoodResponse	1	0.0	n/a	5	16	ISIslide	Win	n/a
Lose2	1.0	0.25	0.0	Yes	2.726	169.524	0.024	n/a	GoodResponse	0	n/a	n/a	5	17	Cue	AvoidedLoss	n/a
Lose2	1.0	3.95	0.0	Yes	2.726	169.775	0.001	n/a	GoodResponse	0	n/a	n/a	5	17	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.23	0.004	Yes	2.726	173.72	-0.004	2.0	GoodResponse	0	0.191	173.911	5	17	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	2.726	173.911	-0.004	2.0	GoodResponse	0	0.191	n/a	5	17	ButtonPress	AvoidedLoss	104.0
Lose2	1.0	0.47	n/a	Yes	2.726	173.954	n/a	n/a	GoodResponse	0	n/a	n/a	5	17	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	2.726	174.422	n/a	5.0	GoodResponse	0	0.015	174.437	5	17	Feedback	AvoidedLoss	n/a
Lose2	1.0	2.726	n/a	Yes	2.726	175.876	n/a	n/a	GoodResponse	0	0.0	n/a	5	17	ISIslide	AvoidedLoss	n/a
Lose2	1.0	0.25	0.0	Yes	2.732	178.618	0.018	n/a	GoodResponse	0	n/a	n/a	5	18	Cue	AvoidedLoss	n/a
Lose2	1.0	4.05	0.0	Yes	2.732	178.868	0.0	n/a	GoodResponse	0	n/a	n/a	5	18	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.22	0.004	Yes	2.732	182.914	-0.004	2.0	GoodResponse	0	0.163	183.077	5	18	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	2.732	183.077	-0.004	2.0	GoodResponse	0	0.163	n/a	5	18	ButtonPress	AvoidedLoss	110.0
Lose2	1.0	0.48	n/a	Yes	2.732	183.148	n/a	n/a	GoodResponse	0	n/a	n/a	5	18	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	2.732	183.616	n/a	5.0	GoodResponse	0	0.041	183.657	5	18	Feedback	AvoidedLoss	n/a
Lose2	1.0	2.732	n/a	Yes	2.732	185.07	n/a	n/a	GoodResponse	0	0.0	n/a	5	18	ISIslide	AvoidedLoss	n/a
Control	0.95	0.25	0.0	No	2.921	187.829	0.029	n/a	NoResponse	0	n/a	n/a	5	19	Cue	Neutral	n/a
Control	0.95	3.95	0.0	No	2.921	188.079	0.0	2.0	NoResponse	0	3.907	191.986	5	19	Fixation	Neutral	n/a
Control	0.95	0.3	0.0	No	2.921	191.986	0.0	2.0	NoResponse	0	3.907	n/a	5	19	ButtonPress	Neutral	115.0
Control	0.95	0.21	0.0	No	2.921	192.041	0.012	n/a	NoResponse	0	n/a	n/a	5	19	Target	Neutral	n/a
Control	0.95	0.49	n/a	No	2.921	192.242	n/a	n/a	NoResponse	0	n/a	n/a	5	19	Blank	Neutral	n/a
Control	0.95	1.45	n/a	No	2.921	192.727	n/a	5.0	NoResponse	0	0.007	192.734	5	19	Feedback	Neutral	n/a
Control	0.95	2.921	n/a	No	2.921	194.181	n/a	n/a	NoResponse	0	0.0	n/a	5	19	ISIslide	Neutral	n/a
Control	0.9523999999999999	0.25	0.0	Yes	2.627	197.123	0.023	n/a	GoodResponse	0	n/a	n/a	5	20	Cue	Neutral	n/a
Control	0.9523999999999999	4.05	0.0	Yes	2.627	197.374	0.001	n/a	GoodResponse	0	n/a	n/a	5	20	Fixation	Neutral	n/a
Control	0.9523999999999999	0.2	0.004	Yes	2.627	201.419	-0.004	2.0	GoodResponse	0	0.184	201.603	5	20	Target	Neutral	n/a
Control	0.9523999999999999	0.3	0.004	Yes	2.627	201.603	-0.004	2.0	GoodResponse	0	0.184	n/a	5	20	ButtonPress	Neutral	122.0
Control	0.9523999999999999	0.5	n/a	Yes	2.627	201.62	n/a	n/a	GoodResponse	0	n/a	n/a	5	20	Blank	Neutral	n/a
Control	0.9523999999999999	1.45	n/a	Yes	2.627	202.121	n/a	5.0	GoodResponse	0	0.024	202.145	5	20	Feedback	Neutral	n/a
Control	0.9523999999999999	2.627	n/a	Yes	2.627	203.576	n/a	n/a	GoodResponse	0	0.0	n/a	5	20	ISIslide	Neutral	n/a
Control	0.9545	0.25	0.0	Yes	2.783	206.217	0.017	n/a	GoodResponse	0	n/a	n/a	5	21	Cue	Neutral	n/a
Control	0.9545	4.1	0.0	Yes	2.783	206.468	0.001	n/a	GoodResponse	0	n/a	n/a	5	21	Fixation	Neutral	n/a
Control	0.9545	0.19	0.004	Yes	2.783	210.563	-0.004	2.0	GoodResponse	0	0.181	210.744	5	21	Target	Neutral	n/a
Control	0.9545	0.3	0.004	Yes	2.783	210.744	-0.004	2.0	GoodResponse	0	0.181	n/a	5	21	ButtonPress	Neutral	128.0
Control	0.9545	0.51	n/a	Yes	2.783	210.764	n/a	n/a	GoodResponse	0	n/a	n/a	5	21	Blank	Neutral	n/a
Control	0.9545	1.45	n/a	Yes	2.783	211.265	n/a	5.0	GoodResponse	0	0.001	211.266	5	21	Feedback	Neutral	n/a
Control	0.9545	2.783	n/a	Yes	2.783	212.72	n/a	n/a	GoodResponse	0	0.0	n/a	5	21	ISIslide	Neutral	n/a
Control	0.9565	0.25	0.0	Yes	2.772	215.528	0.028	n/a	GoodResponse	0	n/a	n/a	5	22	Cue	Neutral	n/a
Control	0.9565	4.0	0.0	Yes	2.772	215.779	0.001	n/a	GoodResponse	0	n/a	n/a	5	22	Fixation	Neutral	n/a
Control	0.9565	0.18	0.004	Yes	2.772	219.774	-0.004	2.0	GoodResponse	0	0.171	219.945	5	22	Target	Neutral	n/a
Control	0.9565	0.3	0.004	Yes	2.772	219.945	-0.004	2.0	GoodResponse	0	0.171	n/a	5	22	ButtonPress	Neutral	134.0
Control	0.9565	0.52	n/a	Yes	2.772	219.958	n/a	n/a	GoodResponse	0	n/a	n/a	5	22	Blank	Neutral	n/a
Control	0.9565	1.45	n/a	Yes	2.772	220.476	n/a	5.0	GoodResponse	0	0.009	220.485	5	22	Feedback	Neutral	n/a
Control	0.9565	2.772	n/a	Yes	2.772	221.93	n/a	n/a	GoodResponse	0	0.0	n/a	5	22	ISIslide	Neutral	n/a
Control	0.9167000000000001	0.25	0.0	No	2.778	224.722	0.022	n/a	LatePress	0	n/a	n/a	5	23	Cue	Neutral	n/a
Control	0.9167000000000001	3.9	0.0	No	2.778	224.973	0.001	n/a	LatePress	0	n/a	n/a	5	23	Fixation	Neutral	n/a
Control	0.9167000000000001	0.17	0.004	No	2.778	228.868	-0.004	2.0	LatePress	0	0.173	229.041	5	23	Target	Neutral	n/a
Control	0.9167000000000001	0.3	0.004	No	2.778	229.041	-0.004	2.0	LatePress	0	0.173	n/a	5	23	ButtonPress	Neutral	140.0
Control	0.9167000000000001	0.53	n/a	No	2.778	229.052	n/a	n/a	LatePress	0	n/a	n/a	5	23	Blank	Neutral	n/a
Control	0.9167000000000001	1.45	n/a	No	2.778	229.57	n/a	5.0	LatePress	0	0.038	229.608	5	23	Feedback	Neutral	n/a
Control	0.9167000000000001	2.778	n/a	No	2.778	231.024	n/a	n/a	LatePress	0	0.0	n/a	5	23	ISIslide	Neutral	n/a
Win2	0.88	0.25	0.0	No	3.134	233.816	0.016	n/a	NoResponse	0	n/a	n/a	5	24	Cue	MissedWin	n/a
Win2	0.88	3.95	0.0	No	3.134	234.067	0.001	n/a	NoResponse	0	n/a	n/a	5	24	Fixation	MissedWin	n/a
Win2	0.88	0.16	0.004	No	3.134	238.012	-0.004	2.0	NoResponse	0	0.176	238.188	5	24	Target	MissedWin	n/a
Win2	0.88	0.54	n/a	No	3.134	238.179	n/a	n/a	NoResponse	0	n/a	n/a	5	24	Blank	MissedWin	n/a
Win2	0.88	0.3	0.004	No	3.134	238.188	-0.004	2.0	NoResponse	0	0.176	n/a	5	24	ButtonPress	MissedWin	146.0
Win2	0.88	1.45	n/a	No	3.134	238.714	n/a	5.0	NoResponse	0	0.016	238.73	5	24	Feedback	MissedWin	n/a
Win2	0.88	3.134	n/a	No	3.134	240.168	n/a	n/a	NoResponse	0	0.0	n/a	5	24	ISIslide	MissedWin	n/a
Win2	0.8462000000000001	0.25	0.0	No	3.072	243.328	0.028	n/a	NoResponse	0	n/a	n/a	5	25	Cue	MissedWin	n/a
Win2	0.8462000000000001	4.0	0.0	No	3.072	243.579	0.001	2.0	NoResponse	0	3.829	247.408	5	25	Fixation	MissedWin	n/a
Win2	0.8462000000000001	0.3	0.0	No	3.072	247.408	0.001	2.0	NoResponse	0	3.829	n/a	5	25	ButtonPress	MissedWin	151.0
Win2	0.8462000000000001	0.15	0.004	No	3.072	247.574	-0.004	n/a	NoResponse	0	n/a	n/a	5	25	Target	MissedWin	n/a
Win2	0.8462000000000001	0.55	n/a	No	3.072	247.724	n/a	n/a	NoResponse	0	n/a	n/a	5	25	Blank	MissedWin	n/a
Win2	0.8462000000000001	1.45	n/a	No	3.072	248.276	n/a	5.0	NoResponse	0	0.014	248.29	5	25	Feedback	MissedWin	n/a
Win2	0.8462000000000001	3.072	n/a	No	3.072	249.73	n/a	n/a	NoResponse	0	0.0	n/a	5	25	ISIslide	MissedWin	n/a
Win2	0.8148000000000001	0.25	0.0	No	2.927	252.823	0.023	n/a	NoResponse	0	n/a	n/a	5	26	Cue	MissedWin	n/a
Win2	0.8148000000000001	3.95	0.0	No	2.927	253.074	0.001	n/a	NoResponse	0	n/a	n/a	5	26	Fixation	MissedWin	n/a
Win2	0.8148000000000001	0.15	0.004	No	2.927	257.019	-0.004	2.0	NoResponse	0	0.182	257.201	5	26	Target	MissedWin	n/a
Win2	0.8148000000000001	0.55	n/a	No	2.927	257.169	n/a	n/a	NoResponse	0	n/a	n/a	5	26	Blank	MissedWin	n/a
Win2	0.8148000000000001	0.3	0.004	No	2.927	257.201	-0.004	2.0	NoResponse	0	0.182	n/a	5	26	ButtonPress	MissedWin	158.0
Win2	0.8148000000000001	1.45	n/a	No	2.927	257.721	n/a	5.0	NoResponse	0	0.032	257.753	5	26	Feedback	MissedWin	n/a
Win2	0.8148000000000001	2.927	n/a	No	2.927	259.175	n/a	n/a	NoResponse	0	0.0	n/a	5	26	ISIslide	MissedWin	n/a
Lose2	0.7857	0.25	0.0	No	2.833	262.117	0.017	n/a	NoResponse	-1	n/a	n/a	4	27	Cue	Loss	n/a
Lose2	0.7857	4.05	0.0	No	2.833	262.368	0.001	n/a	NoResponse	-1	n/a	n/a	4	27	Fixation	Loss	n/a
