cue_type	current_mean_accuracy	duration	duration_error	is_hit	isi_adjusted	onset	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	index
Control	1.0	0.25	0.0	Yes	2.953	10.097	-0.003	n/a	GoodResponse	0	n/a	n/a	0	0	Cue	Neutral	n/a
Control	1.0	3.85	0.0	Yes	2.953	10.348	0.001	n/a	GoodResponse	0	n/a	n/a	0	0	Fixation	Neutral	n/a
Control	1.0	0.4	0.004	Yes	2.953	14.193	-0.004	2.0	GoodResponse	0	0.22	14.413	0	0	Target	Neutral	n/a
Control	1.0	0.3	0.004	Yes	2.953	14.413	-0.004	2.0	GoodResponse	0	0.22	n/a	0	0	ButtonPress	Neutral	2.0
Control	1.0	0.3	n/a	Yes	2.953	14.594	n/a	n/a	GoodResponse	0	n/a	n/a	0	0	Blank	Neutral	n/a
Control	1.0	1.45	n/a	Yes	2.953	14.895	n/a	5.0	GoodResponse	0	0.032	14.927	0	0	Feedback	Neutral	n/a
Control	1.0	2.953	n/a	Yes	2.953	16.349	n/a	n/a	GoodResponse	0	0.0	n/a	0	0	ISIslide	Neutral	n/a
Lose2	1.0	0.25	0.0	Yes	2.775	19.325	0.025	n/a	GoodResponse	0	n/a	n/a	0	1	Cue	AvoidedLoss	n/a
Lose2	1.0	4.0	0.001	Yes	2.775	19.575	0.0	n/a	GoodResponse	0	n/a	n/a	0	1	Fixation	AvoidedLoss	n/a
Lose2	1.0	0.39	0.004	Yes	2.775	23.571	-0.004	2.0	GoodResponse	0	0.266	23.837	0	1	Target	AvoidedLoss	n/a
Lose2	1.0	0.3	0.004	Yes	2.775	23.837	-0.004	2.0	GoodResponse	0	0.266	n/a	0	1	ButtonPress	AvoidedLoss	8.0
Lose2	1.0	0.31	n/a	Yes	2.775	23.972	n/a	n/a	GoodResponse	0	n/a	n/a	0	1	Blank	AvoidedLoss	n/a
Lose2	1.0	1.45	n/a	Yes	2.775	24.273	n/a	5.0	GoodResponse	0	0.02	24.293	0	1	Feedback	AvoidedLoss	n/a
Lose2	1.0	2.775	n/a	Yes	2.775	25.727	n/a	n/a	GoodResponse	0	0.0	n/a	0	1	ISIslide	AvoidedLoss	n/a
Control	1.0	0.25	0.0	Yes	2.581	28.519	0.019	n/a	GoodResponse	0	n/a	n/a	0	2	Cue	Neutral	n/a
